name,price,buy,av,goals,titu
#
## L1 - 12/02/2021 - J24
#
Maripán,16,30,5.3,4,38
Botman,16,26,5.5,0,100
Centonze,16,25,5.6,0,96
Da Silva,15,25,5.4,4,79
Thomas,16,24,5.2,3,83
Marcelo,17,24,5.7,2,92
Perraud,16,23,5.3,3,83
Denayer,16,22,5.6,1,83
Aguerd,16,21,5.5,3,88
Ecuele Manga,14,20,5.3,2,100
Dubois,15,19,5.5,2,92
Koscielny,14,19,5.4,0,67
Traoré,17,17,5.1,3,96
Disasi,17,17,5.1,3,63
Caio Henrique,11,16,5.3,0,50
Abdelhamid,16,16,5.1,2,96
Bronn,14,15,5.1,1,100
Congré,12,13,4.9,2,100
Badiashile,12,13,5,2,92
Aguilar,12,12,5.1,1,79
Benito,12,12,5,0,79
Abergel,10,11,5.2,2,75
Pallois,10,10,4.8,1,83
Bradaric,9,9,5.1,0,54
Steven Fortes,9,9,4.9,0,42
Sakai,9,9,4.6,0,88
#
## PL - 13/02/2021 - J23
#
Dallas,18,30,5.1,4,96
Rúben Dias,22,28,5.7,0,87
Vestergaard,14,25,5.5,3,57
Mings,16,25,5.4,2,87
Stones,18,24,6.1,2,57
Konsa Ngoyo,12,22,5.3,2,78
Dawson,16,22,5.6,2,35
Alexander-Arnold,17,22,5.0,1,87
Robertson,17,22,5.0,1,100
Evans,14,20,5.2,0,14
Bednarek,10,20,4.8,1,96
Keane,15,16,5.2,3,83
Alioski,13,16,4.8,2,74
Azpilicueta,14,16,5.0,1,48
Lindelöf,16,16,5.2,1,74
Mee,14,15,5.5,2,70
Justin,13,15,5.2,2,100
Shaw,13,13,5.1,0,74
Bartley,11,12,4.8,2,57
Egan,12,12,4.6,0,91
Tarkowski,11,12,5.1,0,87
Aurier,12,12,5.2,2,57
Holding,10,11,5.0,0,83
Fofana,9,10,5.2,0,83
#
# SerieA - 19/02/2021 - J23
#
Gosens,26,41,5.7,6,73
Hernández,29,34,5.8,4,86
Calabria,18,26,5.3,2,95
Dimarco,19,25,5.5,3,86
Di Lorenzo,15,25,5.3,0,91
Cuadrado,18,23,5.4,0,64
Mancini,21,23,5.3,3,86
Mário Rui,13,22,5.2,0,55
Chiriches,10,21,5.3,2,59
Rafael Tolói,13,21,4.9,2,77
Spinazzola,14,20,5.2,1,86
Bremer,16,20,5.0,3,82
Radu,15,20,5.2,0,77
Karsdorp,15,20,5.0,1,82
Acerbi,18,19,5.3,0,86
Skriniar,16,18,5.4,2,77
Criscito,14,17,5.0,1,50
Tomiyasu,16,16,4.8,2,100
Milenkovic,13,15,5.1,2,91
Rodrigo Becão,8,15,4.8,0,82
Bastoni,11,15,4.8,1,55
Singo,14,14,5.2,1,68
Faraoni,10,11,5.1,0,82
Lykogiannis,10,10,4.8,2,82
Zappacosta,10,10,5.0,1,45
Nikola Maksimovic,8,8,5.0,0,32
#
# Liga - 19/02/2021 - J24
#
Martínez,13,35,5.0,0,83
Cucurella,28,32,5.5,3,100
Trippier,11,31,5.8,0,61
Mandi,17,30,5.0,3,70
Albiol,16,26,5.2,0,100
Mendy,15,25,5.4,1,74
Wass,15,25,5.3,2,96
Koundé,22,24,5.5,1,78
Diego Carlos,19,22,5.4,0,83
Capa,15,22,4.9,2,91
Gayà,15,20,5.2,0,87
Clerc,15,17,5.1,0,83
Lenglet,13,16,5.0,1,70
Dakonam,14,16,5.0,0,83
David García,14,15,5.0,1,91
Araujo,14,15,5.7,1,48
Hermoso,13,14,5.2,1,70
Siovas,12,13,4.9,1,96
Nacho Monreal,12,13,5.0,0,57
Acuña,12,12,4.9,0,70
Giménez,12,12,5.2,0,43
Felipe,12,12,5.3,0,57
Araújo,11,11,4.7,0,74
Sánchez,10,11,4.7,2,70
Gabriel Paulista,11,11,5.2,2,74
Lejeune,10,10,4.7,0,87
Espino,9,9,4.9,0,83
Gómez,9,9,5.3,0,30
Hernández,8,9,5.2,0,57
