name,price,buy,av,goals,titu
#
# L1 - 12/02/2021 - J24
#
Dia,32,95,5.4,12,88
Ben Yedder,41,94,5.5,11,92
Toko Ekambi,24,81,5.8,11,83
Delort,31,60,5.9,9,79
Kadewere,29,51,5.5,9,79
Gouiri,23,50,5.5,7,83
Laborde,22,45,5.6,9,100
Icardi,16,45,5.7,5,29
David,17,32,5.2,7,71
Diallo,22,29,5.1,7,67
Ajorque,24,29,5.3,10,88
Mounie,17,25,5.2,6,79
Sotoca,20,22,5.2,6,88
Gelson Martins,12,20,5.4,2,71
Charbonnier,9,13,4.9,4,38
Kolo Muani,12,12,5.0,3,88
#
# PL - 13/02/2021 - J23
#
Rashford,39,84,5.6,8,91
Sterling,39,81,5.7,8,78
Calvert-Lewin,35,81,5.9,13,87
Zaha,22,60,5.4,9,83
Vardy,41,60,5.6,11,70
Watkins,25,50,5.4,10,91
Wilson,26,35,5.3,10,91
Bowen,14,24,5.4,5,91
Saka,20,23,5.7,5,83
Gabriel Jesus,18,19,5.4,4,43
McGoldrick,13,13,4.8,5,65
#
# SerieA - 19/02/2021 - J23
#
Immobile,42,109,5.8,14,86
Muriel,36,101,5.5,13,32
Insigne,38,94,6.3,10,77
João Pedro,43,80,5.7,11,100
Morata,20,50,5.3,4,64
Chiesa,23,46,5.8,6,77
Lautaro Martínez,33,45,5.6,11,77
Caputo,30,40,5.4,9,68
Ilicic,22,37,5.7,4,59
Vlahovic,22,35,4.6,8,82
Nzola,20,32,5.5,9,55
Zapata,28,30,5.2,8,73
Destro,21,30,5.3,9,50
Mertens,18,26,5.9,4,45
Messias,17,25,5.2,6,95
Rafael Leão,16,24,5.7,5,16
Simy,16,23,4.6,7,77
Simeone,10,12,4.7,5,68
#
# Liga - 19/02/2021 - J24
#
En-Nesyri,28,70,5.6,13,61
Morales,22,61,5.5,10,74
Martí,25,61,5.2,9,65
Isak,20,50,5.6,9,65
Dembélé,16,32,5.2,2,43
Pérez,18,29,5.2,4,52
Maxi Gómez,19,26,5.3,5,87
Raúl García,18,26,5.1,3,61
Joselu,19,26,5.2,5,87
Kike García,13,24,5.1,7,91
Rodríguez,11,24,4.6,5,35
Santi Mina,12,12,5.0,5,65
El Haddadi,10,10,5.0,4,26
